Organisation,Duty Station,Level,Post Title,Closing Date,Posting Retrieved,Descriptions
UNMISS,JUBA,P-4,"ACQUISITION PLANNING OFFICER  - Logistics, Transportation and Supply Chain, Logistics and Supply Chain",2023-02-23,2023-02-10,https://unjoblist.org/r/?451653
UNMC,BOGOTA,P-3,"SUPPLY CHAIN BUSINESS INTELLIGENCE OFFICER  - Logistics, Transportation and Supply Chain, Logistics and Supply Chain",2023-02-23,2023-02-10,https://unjoblist.org/r/?451657
UNOPS,"Addis Ababa, Ethiopia",LICA Specialist-8,Project Management Support Officer  Project Management,2023-02-23,2023-02-11,https://unjoblist.org/r/?451689
UNAMA,KABUL,P-3,"FINANCE AND BUDGET OFFICER  - Management and Administration, Finance",2023-02-23,2023-02-11,https://unjoblist.org/r/?451718
UN CTC,NEW YORK,P-4,"PROGRAMME MANAGEMENT OFFICER  [Temporary] - Economic, Social and Development, Programme Management",2023-02-23,2023-02-12,https://unjoblist.org/r/?451752
UNDP,"Apia, Samoa",NOA,** Humanitarian Affairs Officer-NOA,2023-02-23,2023-02-17,https://unjoblist.org/r/?452010
UNODC,MOGADISHU,P-3,"Programme Officer (Global Maritime Crime Programme)  [Temporary] - Economic, Social and Development, Drug Control and Crime Prevention",2023-02-23,2023-02-17,https://unjoblist.org/r/?452053
UN DPI,NEW YORK,P-3,"PUBLIC INFORMATION OFFICER, Arabic  [Temporary] - Public Information and Conference Management, Public Information",2023-02-23,2023-02-18,https://unjoblist.org/r/?452147
UN OHCHR,GENEVA,P-4,"HUMAN RIGHTS OFFICER (Analyst/Reporting Officer)  - Political, Peace and Humanitarian, Human Rights Affairs",2023-02-24,2023-01-27,https://unjoblist.org/r/?450960
UNEP,NAIROBI,P-3,"PROGRAMME MANAGEMENT OFFICER  - Economic, Social and Development, Programme Management",2023-02-24,2023-01-27,https://unjoblist.org/r/?450961
UNODC,VIENNA,P-2,"Associate Programme Officer (Anti Money-Laundering/Counter-Financing of Terrorism  (AML/CFT))  [Temporary] - Economic, Social and Development, Drug Control and Crime Prevention",2023-02-24,2023-01-27,https://unjoblist.org/r/?450962
UNDP,Syrian Arab Republic,NOC,** Senior Humanitarian Affairs Officer/ Head of Damascus and South Hub,2023-02-24,2023-02-18,https://unjoblist.org/r/?452094
UNDP,"Juba, South Sudan",NOA,** National Program Officer,2023-02-24,2023-02-18,https://unjoblist.org/r/?452112
UN DGACM,NEW YORK,P-3,"PROTOCOL OFFICER  - Public Information and Conference Management, Protocol",2023-02-25,2023-01-14,https://unjoblist.org/r/?450280
UNODC,BANGKOK,P-3,"Programme Officer (Human Trafficking/Migrant Smuggling)  - Economic, Social and Development, Drug Control and Crime Prevention",2023-02-25,2023-01-28,https://unjoblist.org/r/?451025
UN ESCWA,BEIRUT,P-3,"Finance and Budget Officer  - Management and Administration, Finance",2023-02-25,2023-01-28,https://unjoblist.org/r/?451028
UN OCHA,BANGKOK,P-4,"Information Management Officer  - Information and Telecommunication Technology, Information Management Systems and Technology",2023-02-25,2023-01-28,https://unjoblist.org/r/?451035
WHO,Ukraine-Kyiv,NO-B,Procurement Officer,2023-02-25,2023-02-04,https://unjoblist.org/r/?451377
WHO,Ukraine-Kyiv,NO-B,Supply Chain Officer,2023-02-25,2023-02-04,https://unjoblist.org/r/?451378
WHO,Switzerland-Geneva,P4,Medical Officer,2023-02-25,2023-02-04,https://unjoblist.org/r/?451384
WHO,Switzerland-Geneva,P5,Technical Officer (Midwifery),2023-02-25,2023-02-04,https://unjoblist.org/r/?451387
UNDP,"Dili, Timor-Leste",NB4,** Disaster Risk Management (DRM) Officer (NPSA8),2023-02-25,2023-02-11,https://unjoblist.org/r/?451698
WHO,Ukraine-Dnipropetrovsk,NO-B,Technical Officer (CBRN),2023-02-25,2023-02-11,https://unjoblist.org/r/?451727
WHO,Ukraine-Dnipropetrovsk,P3,Risk Communications Officer,2023-02-25,2023-02-11,https://unjoblist.org/r/?451728
WHO,Ukraine-Dnipropetrovsk,NO-B,Technical Officer (Risk Communication and Community Engagement),2023-02-25,2023-02-11,https://unjoblist.org/r/?451729
WHO,Uganda-Kampala,No grade,Non-staff - Partnership Officer - (Level: NO-B) Step 01) - Duty Station: Kampala/Uganda,2023-02-25,2023-02-11,https://unjoblist.org/r/?451732
WIPO,Switzerland-CH-Geneva,P1,"Associate Translation Support Officer, Asian Languages Section 2, PCT Translation Division, PCT Services Department, Patents and Technology Sector",2023-02-25,2023-02-11,https://unjoblist.org/r/?451746
UN CTC,NEW YORK,P-3,"POLITICAL AFFAIRS OFFICER  - Political, Peace and Humanitarian, Political Affairs",2023-02-26,2023-01-15,https://unjoblist.org/r/?450289
UNOPS,"Kyiv, Ukraine",LICA Specialist-8,Finance Officer  Finance,2023-02-26,2023-02-07,https://unjoblist.org/r/?451414
UNODC,DAKAR,P-3,"Crime Prevention and Criminal Justice Officer (Human Trafficking and Migrant Smuggling)  [Temporary] - Economic, Social and Development, Drug Control and Crime Prevention",2023-02-26,2023-02-07,https://unjoblist.org/r/?451457
UNOG,GENEVA,P-3,"INFORMATION SYSTEMS OFFICER (Temporary Job Opening)  [Temporary] - Information and Telecommunication Technology, Information Management Systems and Technology",2023-02-26,2023-02-07,https://unjoblist.org/r/?451459
UNDP,"Amman, Jordan",SB4,"** Project Monitoring, Evaluation (M&amp;E) &amp; Safeguard Measures Compliance Officer",2023-02-26,2023-02-13,https://unjoblist.org/r/?451759
UN CTC,NEW YORK,P-3,"PROGRAMME MANAGEMENT OFFICER  [Temporary] - Economic, Social and Development, Programme Management",2023-02-26,2023-02-14,https://unjoblist.org/r/?451818
UNCHS,NAIROBI,P-4,"PROGRAMME MANAGEMENT OFFICER, HUMAN SETTLEMENTS  [Temporary] - Logistics, Transportation and Supply Chain, Human Settlements",2023-02-26,2023-02-14,https://unjoblist.org/r/?451842
UNCHS,NAIROBI,P-3,"PROGRAMME MANAGEMENT OFFICER  [Temporary] - Economic, Social and Development, Programme Management",2023-02-26,2023-02-14,https://unjoblist.org/r/?451843
WHO,Yemen-Aden,NO-B,Information Management Officer,2023-02-27,2023-02-06,https://unjoblist.org/r/?451409
UNOPS,Home based,IICA-1,Communications Senior Officer  Communications,2023-02-27,2023-02-07,https://unjoblist.org/r/?451411
UNOPS,Home based,IICA-2,Governance Officer  Administration | Programme Management,2023-02-27,2023-02-07,https://unjoblist.org/r/?451412
UNDP,"Dhaka, Bangladesh",NB4,** Project Officer (NPSA9),2023-02-27,2023-02-14,https://unjoblist.org/r/?451800
UNDP,"Kabul, Afghanistan",NOA,** Public Information Officer--UN OCHA,2023-02-27,2023-02-14,https://unjoblist.org/r/?451813
UNDP,"Kabul, Afghanistan",NOB,** Humanitarian Affairs Officer-UN OCHA,2023-02-27,2023-02-14,https://unjoblist.org/r/?451814
MONUSCO,KINSHASA,D-1,"PRINCIPAL COORDINATION OFFICER, POLITICAL AFFAIRS  - Political, Peace and Humanitarian, Political Affairs",2023-02-27,2023-02-14,https://unjoblist.org/r/?451820
